epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.962,1.26256,1.5776,1.13995,0.87969,0.8369,0.87517,0.55033,1.28612,1.02043,1.22513,0.000665158,0.000665158,0.000665158
2,228.884,1.28238,0.89612,1.16699,0.91496,0.83098,0.89879,0.56596,1.28674,0.81568,1.17594,0.00128787,0.00128787,0.00128787
3,318.877,1.27683,0.80567,1.15984,0.93938,0.86925,0.92766,0.58538,1.25889,0.78314,1.17577,0.00186659,0.00186659,0.00186659
4,408.216,1.25246,0.75391,1.14827,0.96446,0.8902,0.93718,0.60024,1.25595,0.66133,1.17121,0.001802,0.001802,0.001802
5,497.653,1.21993,0.70516,1.13244,0.96456,0.89385,0.93787,0.61934,1.20665,0.61894,1.14253,0.001736,0.001736,0.001736
6,586.052,1.2086,0.68017,1.12047,0.90533,0.86879,0.90564,0.60444,1.19714,0.75557,1.13687,0.00167,0.00167,0.00167
7,674.399,1.21131,0.66703,1.1176,0.9694,0.90932,0.94721,0.63576,1.17385,0.58811,1.11064,0.001604,0.001604,0.001604
8,762.981,1.18003,0.64452,1.10662,0.96058,0.89926,0.9451,0.63024,1.1883,0.58608,1.1174,0.001538,0.001538,0.001538
9,851.816,1.17344,0.61435,1.10202,0.96927,0.91978,0.95434,0.64352,1.15381,0.54825,1.10766,0.001472,0.001472,0.001472
10,940.514,1.15635,0.5933,1.08984,0.96299,0.90797,0.94365,0.63551,1.16345,0.54733,1.097,0.001406,0.001406,0.001406
11,1029.58,1.15001,0.58875,1.08359,0.98268,0.91572,0.95557,0.64818,1.14241,0.53278,1.09094,0.00134,0.00134,0.00134
12,1117.42,1.14075,0.58538,1.08278,0.97361,0.92426,0.95916,0.64269,1.14838,0.51442,1.08983,0.001274,0.001274,0.001274
13,1206.49,1.14279,0.57016,1.08095,0.98085,0.93361,0.9675,0.65911,1.12055,0.49946,1.07946,0.001208,0.001208,0.001208
14,1294.47,1.13376,0.56414,1.07875,0.98327,0.92255,0.96228,0.65758,1.12946,0.48944,1.08275,0.001142,0.001142,0.001142
15,1383.18,1.11367,0.55452,1.06642,0.98581,0.91759,0.96061,0.65247,1.14094,0.49507,1.08487,0.001076,0.001076,0.001076
16,1471.02,1.1152,0.55456,1.06734,0.98322,0.92483,0.95783,0.65213,1.15839,0.49706,1.08116,0.00101,0.00101,0.00101
17,1559.28,1.10788,0.53611,1.06589,0.97822,0.94137,0.96389,0.65886,1.1234,0.47075,1.07605,0.000944,0.000944,0.000944
18,1647.54,1.09234,0.5257,1.05885,0.97448,0.93931,0.96216,0.66307,1.10867,0.46718,1.06656,0.000878,0.000878,0.000878
19,1735.43,1.08904,0.51596,1.05785,0.98652,0.93357,0.96134,0.67051,1.09778,0.46305,1.06097,0.000812,0.000812,0.000812
20,1824.6,1.08169,0.50458,1.05096,0.98239,0.92392,0.95775,0.66046,1.12068,0.47741,1.06171,0.000746,0.000746,0.000746
21,1913.45,1.07862,0.47609,1.07425,0.97509,0.92726,0.95894,0.66432,1.10765,0.48146,1.06429,0.00068,0.00068,0.00068
22,2000.02,1.0656,0.4551,1.06306,0.98091,0.93303,0.9606,0.67073,1.09771,0.45141,1.06031,0.000614,0.000614,0.000614
23,2086.69,1.05837,0.44864,1.0561,0.98494,0.93759,0.96711,0.67909,1.07572,0.45602,1.05474,0.000548,0.000548,0.000548
24,2173.27,1.05354,0.43944,1.05155,0.98326,0.93657,0.96582,0.67749,1.08008,0.44169,1.05319,0.000482,0.000482,0.000482
25,2260.55,1.03948,0.4328,1.04418,0.98462,0.93304,0.9659,0.68252,1.07044,0.42909,1.04473,0.000416,0.000416,0.000416
26,2346.84,1.02928,0.42372,1.04107,0.98192,0.94214,0.96775,0.68394,1.06487,0.42813,1.04378,0.00035,0.00035,0.00035
27,2433.82,1.02998,0.41659,1.03825,0.9833,0.9389,0.96741,0.68225,1.0679,0.42406,1.04265,0.000284,0.000284,0.000284
28,2520.99,1.016,0.40748,1.03607,0.98528,0.94077,0.96764,0.68723,1.05505,0.40821,1.03837,0.000218,0.000218,0.000218
29,2608.45,1.00967,0.40005,1.03189,0.98694,0.94123,0.96848,0.686,1.05528,0.41014,1.0394,0.000152,0.000152,0.000152
30,2695.36,1.0011,0.39286,1.02738,0.98678,0.94169,0.96844,0.68832,1.05468,0.40592,1.03832,8.6e-05,8.6e-05,8.6e-05
